name;description;link;avgDailyReach;subscribers
Блог кардиолога;;https://t.me/blog_kardiologa;18377;138944
Доктор Павлова, эндокринолог;к.м.н., ФГБУ Настоящий врач;https://t.me/doctorpavlova;11982;85998
Доктор Сычев;врач-психиатр, психотерапевт;https://t.me/dr_sychev;8427;49116
Терапевт & Гастроэнтеролог;Ситкина Ольга Сергеевна - научный обозреватель;https://t.me/doctor_sitkina;7743;42423
Гастро FM | Софья Бакаева;Канал о некасательной гастроэнтерологии. Гепатолог, гастроэнтеролог;https://t.me/bakaevadoc;1601;8726
Онкодерматолог Нестеренко;к.м.н. Нестеренко Николай Сергеевич;https://t.me/oncodermatology;313;1194
Ценность развития | Карина Казанцарова;Директор по развитию, Фонд Международного медицинского кластера;https://t.me/IMC_education;818;3089
Блог анестезиолога;Личный блог врача анестезиолога-реаниматолога.;https://t.me/anesthesiologists_blog;4534;23246
Медицинский Юрист Иван Перерей;Телеграм-канал для врачей и юристов медицинских организаций;https://t.me/pravomedapologists;1833;16936
Оксана Богдашевская;Оксана Богдашевская — главный гинеколог сети «Клиника Фомина»;https://t.me/bogdashevskaya;2437;14430
Медикал Ват;Медикал Ват — авторский канал о цифровом здравоохранении в России и в других странах мира.;https://t.me/medicalksu;940;12848
Заметки невролога;;https://t.me/zametki_nevrologa;6061;68706
Блог детского врача;;https://t.me/DrButriy;16604;138619
Дерматоонколог Бейнусов;;https://t.me/dmitry_beinusov;3888;31459
Юрист для врача Ангелина Романовская;;https://t.me/mfcexpert_news;3183;29100
GastroPub;;https://t.me/GastroPub;;
Что мы будем делать в понедельник утром;Онкология: лечение, профилактика и новости.;https://t.me/cancer_care_weekly;2733;9073
Основы фундаментальной онкологии;Григорий Чиж, врач-онколог;https://t.me/oncofundamental;;
Дмитрий Фомин;Канал основателя клиники "Клиника Фомина";https://t.me/dr_fomin;;
Александра Кутавьева;Канал для врачей, которые устали работать за "спасибо";https://t.me/medvedevaalexforever;;
Оксана Ракутько и мои врачи;Как эффективно общаться с пациентами и коллегами? Как найти свой путь в медицине? Как эффективно развивать клиники? Как повысить прибыль в клинике?;https://t.me/oksana_rakutko;;
Анна Бердичевская;Основатель и Генеральный директор «НМЦ Нейрохологии и лечения разовой боли» г. Москва;https://t.me/berdichevskayaAnna;;
Doc_shilo;Клинические исследования и доказательная медицина.;https://t.me/clinresearch;;
Репродуктолог Марина Елена;;https://t.me/dr_mayasina;;
Миноская;;https://t.me/drminoc;;
Доктор Ольга Белоконь;;Telegram: View @doctor_belokon;;
Доктор Мясников;;https://t.me/drmyasnikov;28457;184403
Доктор Виктория Улинская;;https://t.me/cardiodokstories;13597;157251
Офтальмопульс;Профессиональный блог от офтальмолога Барышниковой Марты Андреевны (для врачей);https://t.me/doctor_baryshnikova;;
Травматолог Волвынный;;https://t.me/dr_vaspol;;
Кардиолог Чайковская;Нежная кардиология и реабилитация;https://t.me/cardiolog_chaykovskaya;7052;58419
Истории Доктора Долгушина;Эндокринолог-терапевт-кардиолог (более 1000 довольных пациентов);https://t.me/drgrdolgushin;2947;12353
Гастроэнтеролог Саша;Доказательная гастроэнтерология;https://t.me/blagastrosasha;6988;40575
ОляКрумкач;Это Оля Крумкач, это мой личный канал, в котором я делюсь более подробной инфой о медицине и здоровье, а еще тут всякий мои мысли и заметки!;https://t.me/olyakrumkach;4460;23489
Дмитрий Семирядов / Превентивный врач, нутрициолог;Дмитрий Семирядов - превентивный врач, нутрициолог с опытом более 8 лет.;https://t.me/dsemiryadov_official;5100;78822
